Player,FPTS
Tylan Wallace,8.5
Gunner Olszewski,8.5
Nick Keizer,8.4
John Wolford,8.3
Garrett Gilbert,7.9
Geno Smith,7.7
Quez Watkins,7.7
Brandon Allen,7.6
Ben Mason,7.6
Jordan Love,7.4
Chase Daniel,7.2
Ian Book,7.2
Trenton Cannon,7.2
Kalen Ballage,7
Alfred Morris,6.9
Sean McKeon,6.7
Darwin Thompson,6.6
Marcus Kemp,6.6
Chris Streveler,6.5
Tyler Huntley,6.3
Blaine Gabbert,6.3
Dominique Dafney,6.3
AJ McCarron,6.2
J.J. Taylor,6.2
Lee Smith,6.2
Derek Watt,6.1
Alex Collins,5.8
Michael Burton,5.8
Garrett Griffin,5.8
Devin Funchess,5.8
Mike Glennon,5.7
David Blough,5.6
Antonio Williams,5.6
Cethan Carter,5.6
Dwayne Washington,5.5
Jaeden Graham,5.5
Justin Watson,5.5
Isaac Whitney,5.5
Trevon Wesco,5.4
Kaden Smith,5.4
Eric Saubert,5.4
Terry Godwin,5.3
Colt McCoy,5.2
Brandon Powell,5.2
Matt Barkley,5
Khari Blasingame,5
Dwayne Haskins,4.9
J.J. Arcega-Whiteside,4.9
Logan Woodside,4.5
Case Keenum,4.5
Devine Ozigbo,4.5
Jakob Johnson,4.5
Ricky Seals-Jones,4.4
Braxton Berrios,4.4
Jarrett Stidham,4.3
Zach Davidson,4.3
Seth Williams,4.3
K.J. Hill Jr.,4.3
Allen Hurns,4.3
Dezmon Patmon,4.3
Mike Strachan,4.3
Racey McMath,4.3
Elijhaa Penny,4.2
Equanimeous St. Brown,4.1
Tanner Hudson,3.9
Travis Benjamin,3.9
Corey Clement,3.6
Deon Yelder,3.6
Malik Taylor,3.6
Dexter Williams,3.5
Troy Fumagalli,3.5
Temarrick Hemingway,3.5
Isaiah Ford,3.4
Brandon Dillon,3.3
Dare Ogunbowale,3.2
Malcolm Perry,3.2
Brandon Zylstra,3
Kendall Hinton,3
Trent Sherfield,2.9
Eric Tomlinson,2.8
Jonathan Williams,2.5
Trey Quinn,2.4
Joe Reed,2.3
Nick Mullens,2.2
Codey McElroy,2.2
Isaac Nauta,2.2
Matt Cole,2.2
Damion Ratley,2.2
Patrick Laird,2.1
C.J. Prosise,2
Taiwan Jones,2
Elijah McGuire,2
Kevin Rader,2
Antonio Callaway,2
DeMichael Harris,2
Brett Hundley,1.9
Jason Cabinda,1.9
Ryan Nall,1.9
Artavis Pierce,1.9
Malik Turner,1.9
Kelvin Harmon,1.9
DeAndre Carter,1.9
Vyncint Smith,1.9
Jason Huntley,1.8
Adrian Killins Jr.,1.8
Nathan Cottrell,1.8
Austin Walter,1.8
LeVante Bellamy,1.8
Damarea Crockett,1.8
Scottie Phillips,1.8
Jordan Scarlett,1.8
Taquan Mizzell,1.8
Tyrone Swoopes,1.8
Gehrig Dieter,1.8
Isaiah Wright,1.8
Nsimba Webster,1.8
Darrius Shepherd,1.8
Josh Malone,1.8
Jason Moore,1.8
Jeff Badet,1.8
Chris Rowland,1.8
Chad Hansen,1.8
Keelan Doss,1.8
Tanner Gentry,1.8
Cyril Grayson Jr.,1.8
Cullen Gillaspia,1.7
Tim Tebow,1.7
MyCole Pruitt,1.7
Hakeem Butler,1.7
Jason Croom,1.7
Trenton Irwin,1.7
Lawrence Cager,1.7
Chad Williams,1.7
John Ursua,1.7
Darvin Kidsy,1.7
Stanley Morgan Jr.,1.7
Laquon Treadwell,1.7
John Hightower,1.7
Jordan Franks,1.6
Jesper Horsted,1.6
Marcell Ateman,1.6
Jake Lampman,1.6
Robert Foster,1.6
Mack Hollins,1.6
KhaDarel Hodge,1.6
Derrick Willies,1.6
Marvin Hall,1.6
K.J. Osborn,1.6
Dan Chisena,1.6
Alexander Hollins,1.6
Cole Hikutini,1.5
Ja'Marcus Bradley,1.5
JoJo Natson,1.5
Dante Pettis,1.5
Cody Hollister,1.5
Ashton Dulin,1.5
River Cracraft,1.5
Fred Brown,1.5
Justin Hardy,1.5
Tyrie Cleveland,1.5
Kevin White,1.5
Ryan Switzer,1.5
C.J. Board,1.5
Matt LaCosse,1.4
Colin Thompson,1.4
Keith Kirkwood,1.4
Jordan Matthews,1.4
Tony Jones Jr.,0.3
Ben DiNucci,0
Trevor Siemian,0
Kyle Lauletta,0
Kyle Allen,0
Nate Sudfeld,0
Will Grier,0
Josh Johnson,0
Nathan Peterman,0
Brett Rypien,0
Joshua Dobbs,0
Easton Stick,0
Nick Foles,0
C.J. Beathard,0
Devlin Hodges,0
Ryan Griffin,0
Cooper Rush,0
Jake Luton,0
Sean Mannion,0
Josh Rosen,0
,
,
